genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"wzcagcFpGHrcEBDsFFyDcdyrKfyoeAIxioidAaiGrwKAomADdypvbyuanIbbBoCjCbHBCLsfufiwzoAJvtJeojtiJfjfzlmtufxyfqsnvcbpzBcrvBcHxgab",114.000000,0,234,0,0,0,0,0,0,0
"wIjagckIuxCDIfzqfKcLCqyyfioCkfmKzzkdhvaKdFtvbaJvlCqdwazdrvByBDmeBvrBananeaFmybdBbfbabdpfcKBbvIxoAtBJrBBKjBByBIBdbumosgae",109.000000,133,0,0,0,0,0,285,0,0
"wzcagcKzuCKGkIiuLsbHDcByycueuDJybkkByeoKmodEeaufsmGLdBwDvBarGyLBBDBBEoEsByoByBvLBIBwjnIBssnbvvBBBBnEmnBeawBrBazvvfzaxgab",114.000000,0,0,0,19,0,342,0,0,0
"wzcagcenoAIJKrazLBxyiaxxycloscvyeAsnJqobwvymwDvoBscBmtbsuIDdnGlBtLipfLnvdcFcqlBbAbvpmIsrBBuBGoxsarkKDbkvwdBBDpBwcKiaGgab",114.000000,0,0,0,0,0,0,0,0,0
"wcjagcDazHzbIcBnHkczBLtyycuboeJurBelvmGnvqybBsqvtBbxocDdnFanyBntcttbpJsfyBxFeBJBaBpmDvsIFucByepkpvBkBtnFBvJByBBBvBvGxgal",117.000000,0,0,0,60,45,0,0,30,163
"wrjagcvlAkoAcmpCHJxfjzByycuKvEuimIBmEvBypvuEKpuBBALmuavaIoacBdbtcqKutBEeBBtBJeJBBBbAByBBBLkBBBBBtBBBKBoDIBbApbkavvvvxgBt",114.000000,0,0,0,0,0,0,0,0,0
"wzcagcfrrpAzncoDzwxzvxuyycuIvEasmDcvvveDbfcAIcrtJoBrAyyEsqrbqeBukBeBILtuLsccprqEABBbtcAkaBwyDoBBEBBBBBBLalAkBKeBvvBLKgab",114.000000,0,16,34,0,0,34,0,0,0
"wijagchlaHDibheKiCyaycHDycuvBAtcFEcBJxEDBmBqsafDcsayboEBKeyBbBEIBJvuwBsmBjDqrtaoBGBdbBBwjBBBwBBBwBBBnIBCzaveaJEJvvvvJgnD",115.000000,9,0,0,0,0,1,14,0,0
"wzcagchahzsaxvvJInoyeLxbycujxBuevobrdtDoDBkajDbnnbpwxtuttFIBIpfbuBodjaABBaDcrdfBBExBBvbfgEwByIBvAuwdyKmauebklDnvvvavxgab",115.000000,0,0,0,9,0,487,0,0,0
"wzcagcyAknEJtxqmxpueqsmzycEyucEBBBbBfKGvKtBmcvsFxncBBarBBBuBEBBgBbgEocJuBrjwtjcgjiGxKoCBKAiFiBlHzvHunjkfolpbetmdBEBBptab",62.000000,0,359,0,59,0,472,0,0,0
"wzcagcmrBIkvdtBvbBlqHrzyryKnuyuurbxHauJefvAAaBtymfvBsEosrIqvBidbywcEsavovyrtrBDyBcBBpBsEBBvBbmBBBpBlBBDBgyJrdzfgjdDboeab",103.000000,0,7,0,60,0,0,0,0,0
"wfjagcayjEDquIzDEnfuazxyycuLzruLABrudBbBlbFpBBnBaBavoBaytbvqpBaBaBavytoBaavngadKjqFwgyDgrsBwetiunpfgKAaynowKdaDkxzdIedIB",76.000000,0,30,0,149,257,0,0,0,0
"wqjagcymejiqFprkzebrpBKDycntcmyJvuJLBarpLuBurBJbLBqsBBuBwbDBytqmaBfgAtxKCLJAaHlFmejrmfBHrypFpBawyJqvvrLyfdCbrofzvvFvxgay",120.000000,0,0,0,0,0,0,0,0,0
"wzcagccLLkznCdoIiqbGzGHyycxGafktoejuyofDpBoEepuosmpaBBoBvdJrBuuByBjBbpEBDydBdGvqBLqwnmoBBtjBvvEuEjrqzCHaDcjEBrzvvizaxgab",118.000000,0,0,0,0,0,220,0,0,0
"wzjagcHIpxuCeABubdmzBLdyycuAoqIurBkFvnGlvAybBdqvlbAtocmeuFcnyBnacbBBpJsBtBxDuBBBBBpmLvsAFucByBBnpvBDBtnFCvxByBpBvBvoxgaK",118.000000,30,0,0,180,0,0,0,0,0
"wzcagccoLGocapxxAzxyLcBxycuoscvyeLkDJqsnwvymxLvfBscBblsbBIDfnBwDklepJtdbclFcqLyauAvpmbsrBbuBGoxBBrBunbpvBqBBDfBBvIJBxgab",118.000000,0,20,0,0,60,0,0,80,195
"wzcagcbGbllbveJlJcLLHAvizwwoJHiACdDKwiviaejkrECrqEtGwrAJxAczbxsyioozeKuBLyctcBAyfByBBbvFBBBBBBuDfbuFBBvBBBBoovfcvfcaxgab",114.000000,35,0,0,19,18,321,338,0,0
"wzcagcFHpAFCHAaullFflAusnLdzxtxuyJCGJzAojisyJcdnywFJyuwbuIoHDlCzpdbBfKrKffnBdaBeBxfurmIBBvBrrocJvneKysBpBbBsbBBKkBbBvgab",117.000000,0,0,0,0,0,0,0,0,0
"wsjagcbFcvuLfevpBqoxiAyzqlcsHGockdmdvmobfxdHfciAqJCpFJnqLGmlAbFwwFJwzBpaycucBxurBBtsBBBbvBBbBbBBBBByvBBkBbBBByuBvfcdLghd",120.000000,0,0,0,0,0,0,0,0,0
"wpjagcwfawzvoHsAEyHfzltyIcuoucppBaEocxynJbfqqElILtAmBKBBvfmpqqBGvcxaGJawyBplbIsxfufyfvurGBvqBbmKmKBByBBocKvklxBKvaBBGgtg",116.000000,153,0,0,0,113,0,89,0,0
"wnjagchbvJdxknAppyCibjwpGqvJbFvbkAoDtDiHubGkqianHJrGxnwHdwuALLFiDrGBHtBfrztBBcLpnoBuyBrpKBBtrGyuvxfcByvBBBBxBvBBvfcaHgaf",116.000000,291,0,0,29,0,0,0,0,0
"wzcagcsLLsqpnpmqJusLAzxivwwidfityjIKnpvkisAjCEbbqEbGobAcBxAzJDLhrzbzeKuqByctcBBysByBBbvFBBBBBBuGfboFBBBBBBLAvvfcvfcaxgab",117.000000,19,0,0,19,19,361,359,0,0
"wzcafkgcmlJiccavHlEzJtzyycuburuwoxItsEqDBxejyyGqbEvEvtvBAEnebyenrlsBpuerevBkBBFBBDBBBByvBBsBBBpABqBkaIBIBfrsvBnavBDvbgab",114.000000,0,17,0,34,17,0,0,0,332
"wzcagcdiyvyDnJzGBitGLpqLycuKfducAnKyysvsLnnBumyuEucxDEbneahpBubBBAeouBryKBvBvvKdBIEvtLmBvBBnnpBmEpBwvBrffcwropxvBqBBBgab",116.000000,122,0,0,0,5,0,13,0,0
"wCjagcrElqirzuvrBDdBBBDyBBIBBduBGBBIBfyuBrKyJnaauvuaBcBcegpwjqywfnuspiprzixLIEzcLkIEmtGprpmBEGdinavqLrkrGttxlHoIzvKBxogD",116.000000,24,0,0,0,368,0,0,0,0
"wzcagcvzIbEDCKtuLovvonKBxBbkayxjJuBveBBrJyurkqaEwLswKALLddvlKoBIcBAydGfwtyEwDuuBawIuuIIKrBuDBBBGBBBEtBGKfBevzalvvBdixgab",115.000000,2,0,0,0,168,0,0,0,0
"wajagcoskhfoAyhEEIrBevuBtKwvAopwFuuytrvBqBrwruIdivGjrpBEsucBxEBBBBBvBBBBFgaEGpoLzFIJjxykpHewFyqljarfzvnfDvjpkLGjhGrdnlHe",75.000000,1,0,0,0,0,0,0,0,0
"wqjagcjvzntioHjEzurxBIdByLmKLmuidLIoAyytcpcuBuoDwrAvprmnBuwrBBBoBBBwBKBkBBBwGLsBvBBBxsfgqldtEmEBcJqjCEaGjtyblkozvealxggi",113.000000,40,0,0,0,21,0,319,0,0
"wzcaInckDGdgcFzzqyknkipjycuKwxucyKIKtbdJyuEooGpDmsertfBvyBsaJEBBwuvBEBexGdesHBBBaBBvtBaaryBGBpvvaAkBvBqmKvyupBpuxxvvxgab",115.000000,0,0,0,0,90,15,163,0,0
"wBjagcBeIAyBBsBqByuBBpyBycubdcoyABxvIJjsKvEBFyuBwjuBbErxwDneBmaEGxpBGfurBfgBKvBjmBdDllHpEkfKsGJmkKhiawDnuwmcAzvrvfcaxgab",120.000000,0,0,0,0,0,0,0,0,0
"wBjagccHCpbdqnCaGbfBBxzyycurvvuscBacdrfnBqtraKBpeAbuuDdBqrBymEamvBnesBklaDBBBBBBtxwJBBxxBuBsBwBvBBDvyGJwlnufGvxBbcxBBgFG",115.000000,0,0,0,80,0,416,0,0,0
"wzcagcfAlhqfizDyBAzvByBycouDucLlBlxBpADvDonaDcrtcanebcBfJBBBvEEpqJfaBBmecBvBBtEpvBnqDEBBABBABvbvwBdvBlwIbBABnfBbBkBlxgab",114.000000,0,0,0,30,0,0,355,0,0
"wzcagcKkrKBuaxAzBBbvItvBvoFoByByculmIsrxyFEqGKyxmsAorBBABlBKupBrBBucpBBtBbBfFBJezvBKgpxymFBxKvcLBvBlBFkBIylvBDwDfLvBmgab",113.000000,0,0,0,0,0,0,0,133,361
