"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"10k","l",500,41,100000,2711582,"wzcagcGrCxEbuHitAotbrfqyycuopcuEBLqJwyjlbBBBuLBLJyoLwBfwnLdDuoDErBByEnDfjdaIfcsIIIIxBDwKBBuBAdBJrscByBBBBBBBBBBzvvvvxgab",0,21.44,29,13,13,118,21.44,4
"10k","l",500,43,100000,1851396,"wzzagcqDraEKJynlscpAejjnycuopcJymAABIABxBGBpaGBfByJJuGuKnBrGBLBBBpABoBABEBAoseCpEBIBGoxBuBAtowryBBBAEBfBABBBBBBzvvvvxgab",18.6742,21.44,32,7,7,110,21.22,4
"1000k","l",200,33,100000,849326,"wzcagcGtmwEvyCBuEvJAmotyycuqocuycowAAEAAqGxarBBBBBBBBBBDqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBBBBBxBAoBycvnzvvvhcvvfcaxgab",68.764,21.45,39,1,1,112,21.12,4
"1000k","l",200,5,100000,876618,"wzcagcrDimEbapkCAccBjBByycuIucGyKIBBBsBBBpBBEBbjBBBnaIBIBmBBBBBEBBBBBABBBbkBBBBmBABBBGBBBBBJBsBABBBucBBBBBbBEBqzvvvvxgab",38.6335,21.4,57,1,1,116,21.23,4
"8k","l",200,6,100000,1081394,"wzcagcEjDJEqyiDAylaAEoryyauopcuyBAuGAsBBtbBBadDGuuABqqqtsrBxBBBAdBBjBBBBApuBdIuBbKJBErBLBBBBBBBBBLBBBBBBByycudDzvvvvxgab",28.7679,21.38,40,7,7,113,21.24,4
"10k","l",500,43,100000,1851396,"wzzagcckraEKxyntscpAezjnycuopcJyBAABIIBxBGBpaGGfBLJJuGuKJBrlBLBBBpABoBABEBAoseCpEBIBGoxBuBAtowryBBBAEBfBABBBBBBzvvvvxgBb",18.6785,21.34,32,8,8,111,21.31,4
"1000k","l",200,15,100000,1108606,"wzcagclJwAEmmrCyGwndGEJyycuowAurBBBBtBBBBBurBEjaoBrABBbBBABBABBBpynBytrBfyeGswpIsBrEBnuBBBBBBBBBBBBBBrBBBBBBBBbzvvvvxgab",120.92,21.31,47,3,3,115,20.92,4
"100k","l",200,29,100000,1031426,"wzcagcmlnxEHakcjbGBELiyyycurEBuDcBobBwbHcahbbhsEhscujBaByBBBBBBpBBBBbBBBqucBBByBBsBBBBBBBBBBBBBByBBBBBBBBBBBBBBzvvvvxgab",76.1014,21.31,53,1,1,120,21.55,4
"10k","l",500,32,100000,2338699,"whjagchbaxEICGJHArqzwqnLycuopcdloBlAjElCILDAqanGnyyIuoueejborBDBxcfBBBwBBbBJcyBBtpBEBuLrBjByBBBBBEpBBBBBKhBBBdBzvvvvxgak",13.8202,21.33,33,9,9,117,21.35,4
"10k","l",100,39,100000,490617,"wzcagcAazDEkaiDprIyrmbJyucuopcucEBExByDBBBbBauJBtxBBqmBBBBIwBLlnBByAmwsBBEIBBnBrBbBwyBylwBepBBwBduBABuBrBBBBBxBzvvvvxgab",49.8922,21.33,40,3,3,117,21.24,4
"8k","l",200,3,100000,785590,"wzcagcDkrBEIsuBItKAADilyycuopcurJBByJkfBABptnyBABbtAEBoytryEAGAEBGlBByBjdBpscBpBBBwqItBoeBLoBbBnrBdyBBBBBmoBBBBzvvvvxgab",58.2475,21.39,34,6,6,113,21.13,4
