genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"wijagclbtuEqpBanjwdmwlnLycuopcBuBBAdaEfkKsGoqdjknyxcuBuwfjborBDudcfBBBaBBbBJByjwxpBEBuBrBbxfBLBBBEBBBBBBBBBBBuBzvvvvxgvG",117.000000,4,0,0,2,10,0,17,0,0
"wtjagcfbtaEqdoanjKdmwfnLycuopcoyBBALsEGkDsDuqdsGnyxIuBoecgborBDudcfBBBBBBbBJBysKypBEqufrBbBfyxBGBEBBBBBBBkBBBuBzvvvvxgay",115.000000,4,0,0,11,1,15,0,0,0
"wzcagcorqxEittbtdzGrrfqyycuopcuEBqGJayjdbBuABLGmJyjLwBfDxxdAuoGErBLyEnDcjdaafcmIbIqxBDwoBGuBAcBqrscByBBBBBBBBBBzvvvvxgab",117.000000,0,5,1,6,0,0,0,0,0
"wzcagctdlGEbCAJbixeIwpnyycuopcucydELpdJjubLBmpnIeEpmBBBeBoByJBBBojaoBBBBEtJeaBrBBwBfBBBfcDcAsBBBDDBBBBBBwuBBBBBzvvvvxgab",116.000000,0,1,14,0,0,20,0,0,0
"wzcagckrqxEittAtdKGrrfqyycuopcuEqqGJByjdbBuBBLcmJyjLwBfDxxdAuoaErBByEnDcjdaafcsIbIfxBDwoBGuBAcBfrscByBBBBBBBBBBzvvvvxgab",116.000000,0,6,1,7,0,0,0,0,0
"wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqcGBABaxIBfADaJuquBqBrBBABBAjABBypBEBGAJlkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb",116.000000,8,0,0,0,13,0,11,0,0
"wyzagciHDzExLtiEDGEdtJyfycuoxruyawAGEBoBBrBAcBpAxJKyBjGKsJBarBDGqAAjBBwucfBqBBBnaAuuytjBnwDBaxorBBBaBpBBurBBBBBzvvvvxgxb",116.000000,0,3,0,8,0,6,0,0,0
"wzcagcmlnxEHakcjbGuELzyyycurEBuDcBobBwbHcahbbxsEhscujBaByBBBBBBpBBBBbBBBqucBBByBBsBBBBBBBBBBBBAByBBBBBBBBBBBBBBzvvvvxgab",120.000000,0,0,0,0,0,0,0,0,0
"wzcagcorCxEbCHitAotbrfqyycuopcuEBLqJwyjlbBBBuLBLJyoLwBfwBLdDuoDErBByEnDfjdaLfcsIIIIxBDwKBBuBAdBJrscByBBBBBBBBBBzvvvvxgab",117.000000,0,8,1,8,0,0,0,0,0
"wzcagcJDAaEEjukkBEAGshByycuopcuccBLBBBydmydtyBBBBABBBtBrBBjBBABsoBABBycAucCAbAABwAAeyCIBBaCBBABByBKBALABnBmBBEBzvvvvxgab",114.000000,0,13,0,0,0,0,0,0,0
"wzcagcArzCEHbHrdatkxawfyycubrBucBBEcIojuyDqBfwwqcEcyoBBuBBBBBBBBBbqJurnbEBBAwBwBBxByjBBBwGxpBjBksBBGdbijIuBaBBazvvvvxgab",117.000000,0,2,0,14,14,0,2,0,0
"wzcagcuIdHEyqztBxvHxdlqyycuopcuBBoBvArjBuBjEEjBBpfyLeADdvnumjBnJdIJBBBEkBBkBwmvBABwlGBoyBtyfJdBotrBGBBBBBBBBBGBzvvvvxgab",115.000000,0,3,17,0,0,12,0,0,0
